schoolDistrict,Year,Total Enrollment
1,2013-14,12492
2,2013-14,62741
3,2013-14,23098
4,2013-14,14265
5,2013-14,13150
6,2013-14,25091
7,2013-14,20195
8,2013-14,30453
9,2013-14,36813
10,2013-14,57339
11,2013-14,39954
12,2013-14,24653
13,2013-14,22551
14,2013-14,21064
15,2013-14,30729
16,2013-14,9063
17,2013-14,25604
18,2013-14,17614
19,2013-14,24798
20,2013-14,49506
21,2013-14,34943
22,2013-14,35912
23,2013-14,10767
24,2013-14,59750
25,2013-14,37279
26,2013-14,31982
27,2013-14,45926
28,2013-14,40444
29,2013-14,27645
30,2013-14,41218
31,2013-14,62021
32,2013-14,14636
75,2013-14,23304
79,2013-14,5574
84,2013-14,71905
