geometry,line,name,url,1,2,3,4,5,6,6 Express,7,7 Express,@,A,B,C,D,E,F,G,J,L,M,N,Q,R,S,Z
POINT (-73.99027199929638 40.68672833129772),F-G,Smith St & Bergen St At Ne Corner (To Manhattan And Queens Only),http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
POINT (-73.9906780008789 40.69372533216928),2-3-4-5-N-R,Court St & Montague St At Sw Corner,http://www.mta.info/nyct/service/,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
POINT (-73.99059199905471 40.69364233162101),2-3-4-5-N-R,Court St & Montague St At Sw Corner,http://www.mta.info/nyct/service/,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
POINT (-73.99253735666481 40.69439311951264),2-3-4-5-N-R,Clinton St & Montague St At Nw Corner,http://www.mta.info/nyct/service/,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
POINT (-73.96224891505983 40.66272735822238),B-Q-S,Flatbush Ave & Empire Blvd At Sw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
POINT (-73.98339416852301 40.67716435313647),D-N-R,4th Ave & Union St At Sw Corner (To Bay Ridge And Coney Island Only),http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
POINT (-73.98308231239687 40.67705163581421),D-N-R,4th Ave & Union St At Se Corner (To Manhattan Only),http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
POINT (-73.98298999681003 40.67719509056718),D-N-R,4th Ave & Union St At Se Corner (To Manhattan Only),http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
POINT (-73.97520899965861 40.68069933213695),2-3-4,Flatbush Ave & Bergen St At Sw Corner (To New Lots And Flatbush Only),http://www.mta.info/nyct/service/,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.98621464349429 40.69204411365131),N-R,Lawrence St & Willoughby St At Ne Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
POINT (-73.98611377104055 40.6922584160693),N-R,Lawrence St & Willoughby St At Se Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
POINT (-73.98527100196489 40.69044933281501),2-3,Hoyt St & Fulton St At Sw Corner (To New Lots And Flatbush Only),http://www.mta.info/nyct/service/,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.9852550009138 40.69089533430105),2-3,Bridge St & Fulton St At Ne Corner (To Manhattan Only),http://www.mta.info/nyct/service/,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.98455099823623 40.69044233310529),2-3,Duffield St & Fulton St At Nw Corner (To Manhattan Only),http://www.mta.info/nyct/service/,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.98434700115578 40.69040733460593),2-3,Duffield St & Fulton St At Ne Corner (To Manhattan Only),http://www.mta.info/nyct/service/,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POINT (-73.98536143700538 40.69209560196744),N-R,Bridge St & Willoughby St At Sw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
POINT (-73.98519673719659 40.69223493884094),N-R,Bridge St & Willoughby St At Ne Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
POINT (-73.98215994526204 40.69150880161958),B-D-N-Q-R,Flatbush Ave & Fleet St At Ne Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True,False,False
POINT (-73.97887100025946 40.68392533302045),2-3-4-5-B-D-N-Q-R,4th Ave & Pacific St At Nw Corner,http://www.mta.info/nyct/service/,False,True,True,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True,False,False
POINT (-73.97774737202991 40.68515511399471),2-3-4-5-B-D-N-Q-R,Ashland Pl & Hanson Pl At Ne Corner,http://www.mta.info/nyct/service/,False,True,True,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True,False,False
POINT (-73.98619067591699 40.69235659549948),N-R,Lawrence St & Willoughby St At Ne Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
POINT (-73.9943927504754 40.68111653102947),F-G,Smith St & President St At Nw Corner,http://www.mta.info/nyct/service/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
