1,2,3,4,5,6,6 Express,7,7 Express,A,B,C,D,E,F,G,J,L,M,N,Q,R,S,Z,x,y,name
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-73.9902719993,40.6867283313,Smith St & Bergen St At Ne Corner (To Manhattan And Queens Only)
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-73.9906780009,40.6937253322,Court St & Montague St At Sw Corner
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-73.9905919991,40.6936423316,Court St & Montague St At Sw Corner
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-73.9925373567,40.6943931195,Clinton St & Montague St At Nw Corner
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-73.9622489151,40.6627273582,Flatbush Ave & Empire Blvd At Sw Corner
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-73.9833941685,40.6771643531,4th Ave & Union St At Sw Corner (To Bay Ridge And Coney Island Only)
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-73.9830823124,40.6770516358,4th Ave & Union St At Se Corner (To Manhattan Only)
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-73.9829899968,40.6771950906,4th Ave & Union St At Se Corner (To Manhattan Only)
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.9752089997,40.6806993321,Flatbush Ave & Bergen St At Sw Corner (To New Lots And Flatbush Only)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-73.9862146435,40.6920441137,Lawrence St & Willoughby St At Ne Corner
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-73.986113771,40.6922584161,Lawrence St & Willoughby St At Se Corner
